@relation TEST_ITEM_TRANS
@attribute R {1,2}
@attribute X numeric
@attribute y numeric

@attribute Class {0,1}

@data
1,0.08,7.12,0
2,7.34,8.13,0
1,0.8,4.15,0
1,5.93,0.3,0
2,4.05,8.0,0
2,6.44,6.99,0
2,6.2,0.03,1
1,6.77,6.9,1
2,2.74,0.7,1
2,8.7,7.98,1
2,7.73,4.86,0
2,1.04,4.98,0
1,7.14,0.81,0
2,7.64,0.84,1
2,4.43,8.75,0
1,8.55,3.07,0
1,7.52,5.12,1
2,5.55,3.38,0
2,9.66,3.02,1
1,2.56,8.82,0
1,1.42,3.25,1
2,7.25,1.17,1
2,7.89,1.5,1
2,0.26,1.56,1
2,3.9,8.1,0
2,4.08,3.98,0
1,5.87,7.35,1
2,9.83,2.81,1
1,0.59,3.78,0
2,1.06,0.01,1
1,9.58,3.47,0
2,0.69,0.09,1
2,0.39,9.66,1
2,7.09,9.52,1
1,9.6,3.15,0
1,6.4,9.67,0
2,2.71,8.79,1
1,9.91,1.62,0
1,5.4,0.85,0
2,2.58,0.96,1
2,4.88,8.34,0
1,3.64,2.76,1
2,4.6,0.86,1
1,4.6,9.67,0
2,8.0,8.7,1
2,8.07,1.96,1
1,5.82,4.35,1
2,2.05,8.56,1
2,4.37,6.76,0
2,4.42,7.19,0
2,3.35,2.49,0
2,8.8,3.4,1
2,6.65,6.94,0
2,2.9,7.91,0
2,8.89,5.53,0
1,8.96,7.64,0
1,8.45,2.06,0
2,2.31,2.64,0
1,9.65,4.13,0
1,0.27,2.56,0
2,7.08,3.66,0
1,1.93,5.61,1
2,3.51,0.81,1
2,7.5,0.05,1
1,3.25,8.82,0
1,0.42,4.29,0
1,0.31,5.57,0
1,8.78,2.58,0
1,8.0,8.0,0
2,5.52,9.71,1
2,4.04,0.03,1
2,8.32,9.85,1
1,5.37,4.79,0
2,2.27,3.24,0
2,3.62,0.41,1
1,8.79,3.33,0
2,9.56,5.49,1
1,6.23,7.95,1
1,9.98,9.48,0
1,6.32,9.2,0
2,7.41,2.26,0
2,1.07,9.25,1
2,4.33,2.44,0
1,0.5,6.4,0
1,1.98,9.68,0
1,8.12,7.75,0
1,6.99,1.37,0
2,0.65,9.97,1
2,9.66,0.25,1
2,8.02,8.62,1
2,7.81,6.86,0
1,8.52,0.5,0
1,1.93,9.33,0
1,1.9,4.31,1
2,7.86,4.46,0
2,5.86,8.67,0
1,4.6,5.35,0
1,1.52,2.95,0
1,8.22,7.11,1
1,3.42,8.34,1
1,0.0,5.47,0
2,4.49,2.04,0
2,4.75,2.96,0
1,5.81,4.53,0
1,3.71,1.49,1
2,2.16,6.7,0
1,8.2,0.81,0
1,3.95,1.51,1
1,4.75,4.56,0
2,3.65,3.44,0
2,6.36,3.42,0
1,4.27,3.22,1
1,8.22,1.31,0
2,0.45,4.29,1
1,0.04,0.59,0
1,0.22,1.81,0
2,1.37,6.97,1
2,1.27,2.61,1
1,6.17,1.68,1
2,8.82,1.18,1
2,8.38,4.63,0
1,7.08,9.72,0
2,0.77,8.3,1
2,0.53,0.48,1
2,5.64,2.24,0
1,1.1,2.47,0
2,0.64,4.56,1
1,7.06,8.08,1
1,7.86,1.5,0
1,7.78,4.34,1
1,6.16,3.48,1
2,7.3,8.81,1
1,6.23,5.11,1
2,9.41,7.55,1
2,8.36,3.43,0
1,6.55,7.24,1
1,2.84,0.35,0
1,7.43,0.86,0
2,1.05,9.49,1
1,9.65,6.53,0
1,0.88,8.93,0
1,9.4,6.86,0
2,4.1,9.34,1
1,2.7,6.61,1
2,7.33,3.87,0
2,0.65,4.17,1
1,6.05,3.16,1
1,3.09,6.6,1
1,4.62,5.37,0
2,2.77,3.44,0
1,3.69,1.82,1
1,0.89,5.14,0
1,9.42,8.0,0
2,8.39,2.02,1
2,2.92,6.36,0
2,8.96,7.57,1
2,0.63,2.04,1
2,4.45,0.1,1
1,8.76,6.03,1
2,2.1,2.16,1
1,4.97,1.63,1
1,2.78,1.29,0
1,3.82,0.52,0
1,9.0,7.37,0
2,6.65,1.97,0
1,8.72,3.16,0
2,2.22,5.35,0
1,3.32,9.54,0
1,8.27,7.51,0
1,4.82,7.69,1
2,1.64,7.27,1
1,2.74,4.58,1
2,2.82,1.56,1
2,7.74,8.38,1
2,8.55,9.15,1
2,7.03,9.25,1
2,1.45,7.0,1
1,2.11,9.76,0
2,1.58,1.29,1
1,8.05,5.95,1
1,8.77,5.91,1
2,5.85,6.15,0
1,4.71,7.8,1
2,5.99,1.24,0
1,6.93,3.91,1
2,6.18,9.98,1
2,6.25,3.71,0
2,7.55,1.45,1
1,0.66,3.21,0
2,5.61,5.09,1
1,0.74,9.63,0
2,2.59,8.97,1
1,9.85,5.33,0
1,1.74,8.84,0
2,9.48,6.89,1
2,6.24,0.44,1
2,1.28,2.03,1
1,3.75,5.96,1
2,1.06,6.96,1
1,4.18,2.84,1
2,9.75,9.59,1
1,2.28,9.75,0
2,6.07,4.11,0
1,8.05,5.28,1
2,8.74,8.16,1
2,8.28,0.25,1
2,0.23,0.85,1
1,8.44,3.62,1
2,3.24,4.23,0
1,9.3,5.43,0
1,7.57,9.92,0
2,1.59,0.99,1
1,1.85,0.01,0
2,9.83,0.22,1
2,9.36,6.73,1
2,5.25,1.17,0
1,2.26,9.21,0
2,4.87,8.95,0
1,6.57,9.7,0
1,7.98,2.24,0
2,2.82,4.04,0
1,3.3,9.77,0
1,1.96,5.52,1
2,4.18,5.67,0
1,4.48,3.05,1
2,9.47,4.93,1
2,4.35,9.17,1
2,5.84,1.41,0
2,0.27,4.28,1
2,8.23,8.0,1
2,0.34,7.48,1
2,9.04,1.45,1
2,5.35,2.38,0
2,0.03,8.98,1
1,9.48,7.43,0
2,1.42,3.84,0
1,8.24,2.5,0
1,8.63,9.67,0
2,6.29,8.32,0
1,3.54,5.9,1
2,3.58,7.44,0
1,4.99,5.97,0
1,7.18,9.21,0
1,3.96,8.99,0
1,9.24,7.92,0
1,5.85,9.59,0
2,2.38,9.79,1
2,4.64,8.24,0
1,4.38,8.97,0
2,6.39,0.29,1
2,2.12,4.97,0
2,9.18,8.85,1
2,1.92,8.2,1
1,0.29,0.09,0
2,2.37,9.41,1
2,2.52,5.89,0
1,7.32,4.19,1
2,0.84,3.58,1
1,9.33,9.55,0
2,6.19,7.13,0
1,6.42,5.47,1
1,0.33,3.55,0
1,2.08,6.42,1
2,8.73,8.12,1
1,8.14,2.15,0
1,4.17,8.05,1
1,1.01,2.83,0
2,5.4,5.6,1
2,3.07,4.2,0
1,9.53,4.23,0
1,4.52,3.71,1
1,6.57,9.67,0
1,6.3,1.22,1
2,6.88,6.07,0
1,8.87,8.39,0
1,7.95,6.13,1
1,2.46,9.68,0
1,5.23,6.27,1
1,5.2,7.71,1
1,0.23,9.14,0
2,2.72,4.07,0
2,0.03,8.94,1
2,4.75,8.43,0
1,9.31,9.85,0
2,7.46,8.83,1
1,4.7,7.21,1
1,6.68,1.08,0
2,1.62,9.69,1
1,4.38,7.75,1
1,3.72,0.58,0
1,4.29,5.93,1
2,2.28,6.89,0
1,0.3,7.24,0
1,7.17,8.83,0
1,3.26,5.21,1
1,6.53,2.04,1
1,5.27,9.33,0
1,2.77,4.15,1
1,1.16,7.4,0
2,7.29,3.16,0
1,0.35,9.02,0
1,2.51,9.72,0
2,9.78,2.23,1
2,4.09,2.06,0
2,5.46,9.72,1
2,6.89,2.19,0
2,1.88,2.21,1
1,0.12,2.68,0
2,0.52,8.46,1
1,0.14,6.29,0
1,0.53,8.68,0
1,6.03,8.21,1
1,2.59,1.07,0
2,4.78,3.43,0
2,3.61,6.78,0
2,0.01,6.78,1
1,3.07,5.05,1
1,3.99,1.66,1
2,7.16,5.5,0
2,4.85,5.96,1
2,2.69,5.39,0
2,4.46,1.72,0
1,9.88,4.61,0
2,3.18,3.88,0
1,7.81,5.83,1
2,1.82,4.3,0
2,6.62,1.42,0
1,2.25,9.42,0
2,9.65,4.79,1
1,4.43,5.33,0
2,1.73,5.46,0
2,9.81,6.0,1
2,8.22,1.71,1
1,0.0,0.56,0
2,3.01,9.48,1
1,2.12,2.43,1
1,5.07,6.05,1
1,2.81,7.09,1
1,4.33,9.8,0
1,4.54,0.75,0
1,3.69,6.6,1
1,6.96,8.19,1
2,9.48,8.84,1
2,4.28,4.28,0
2,3.01,4.82,0
1,4.13,8.52,1
1,1.27,6.55,0
1,3.32,0.05,0
2,8.46,1.02,1
2,1.28,9.97,1
2,8.8,6.4,1
2,8.31,7.31,1
2,6.34,7.1,0
1,5.85,3.44,1
1,1.79,5.4,1
2,1.99,9.19,1
2,0.21,4.24,1
2,2.87,9.37,1
1,4.02,5.49,1
1,8.75,6.51,0
1,4.05,8.55,1
1,9.37,9.3,0
2,8.24,6.88,0
2,4.19,2.52,0
2,4.05,1.26,0
2,8.05,2.66,0
1,2.7,1.35,0
2,5.83,3.51,0
2,1.39,4.11,0
1,2.52,6.71,1
2,3.71,6.08,0
1,9.0,4.51,0
2,9.89,3.93,1
2,1.98,4.1,0
2,1.13,5.25,0
2,8.22,9.92,1
2,7.15,3.35,0
1,3.43,0.22,0
2,2.39,8.59,1
2,1.06,7.25,1
2,3.86,7.53,0
1,4.28,3.77,1
2,7.06,2.35,0
1,6.81,7.5,1
1,4.94,9.29,0
1,7.57,6.04,1
1,7.59,9.31,0
2,8.4,8.25,1
1,6.74,6.91,1
2,6.41,9.71,1
2,2.3,9.96,1
2,1.01,5.15,0
2,7.73,1.07,1
1,3.02,4.78,1
2,4.81,7.77,0
1,5.77,4.71,0
2,5.15,8.73,0
1,1.41,8.79,0
1,8.84,6.25,0
2,1.76,5.07,0
2,7.66,2.98,0
1,0.73,9.64,0
1,9.93,5.66,0
1,3.8,2.92,1
1,3.44,8.8,0
1,9.71,3.15,0
2,4.67,1.32,0
1,7.47,3.22,1
2,5.17,5.42,1
2,9.71,3.37,1
1,4.91,5.14,0
1,6.66,4.0,1
2,6.94,5.99,0
1,6.71,1.46,1
2,8.09,5.37,0
2,2.24,1.35,1
2,4.65,5.42,1
2,9.15,9.4,1
2,5.93,8.65,0
2,3.63,9.84,1
1,9.64,6.9,0
2,0.57,6.96,1
1,1.64,1.12,0
1,7.69,0.77,0
1,5.6,6.91,1
1,2.13,5.27,1
1,1.58,3.84,1
1,2.16,5.2,1
2,1.95,7.55,0
2,1.2,6.52,1
1,9.42,0.06,0
2,2.42,0.08,1
1,1.35,3.74,1
1,8.16,9.06,0
1,0.88,9.22,0
2,2.95,4.93,0
1,6.41,1.41,1
1,3.66,7.57,1
1,3.97,4.78,1
2,5.74,2.1,0
2,9.61,0.51,1
1,4.05,1.74,1
1,3.68,9.29,0
1,9.54,7.34,0
1,2.28,5.04,1
1,2.13,2.34,1
1,1.47,1.98,0
1,4.57,7.16,1
2,1.72,9.08,1
2,5.4,1.1,0
1,8.41,9.71,0
2,7.92,7.53,0
2,1.77,5.57,0
2,2.54,1.03,1
2,6.39,3.25,0
1,5.17,2.97,1
2,9.82,1.05,1
2,3.28,5.39,0
1,4.67,6.11,1
2,3.82,6.86,0
2,3.66,6.31,0
1,5.05,8.5,1
1,9.4,3.35,0
1,3.54,3.39,1
1,3.95,8.92,0
1,3.23,7.18,1
2,0.43,2.44,1
1,7.94,7.24,1
2,2.43,9.8,1
2,9.59,1.11,1
2,4.69,8.15,0
1,1.19,1.1,0
2,3.29,1.27,1
1,6.35,0.54,0
2,6.64,7.08,0
1,1.96,1.53,0
1,3.33,9.57,0
2,0.41,3.18,1
2,5.4,6.81,0
1,5.19,1.59,1
2,8.42,9.65,1
2,4.44,7.22,0
1,3.84,7.88,1
2,0.55,3.7,1
1,6.62,4.75,1
2,8.08,4.79,0
1,8.4,5.34,1
1,4.1,8.53,1
2,3.93,7.58,0
1,4.04,9.75,0
1,8.51,9.23,0
2,7.18,4.94,0
1,6.55,4.09,1
1,9.77,5.44,0
1,2.17,1.3,0
2,3.71,2.85,0
2,3.17,4.28,0
1,6.33,2.18,1
2,9.0,7.35,1
1,3.97,4.5,1
2,3.03,8.28,0
1,1.27,0.11,0
1,3.87,1.69,1
1,9.25,0.63,0
2,9.65,8.54,1
1,2.72,1.53,0
2,3.49,1.94,0
2,8.44,6.44,0
2,6.8,2.27,0
2,6.58,7.43,0
1,4.45,8.65,1
1,2.93,7.12,1
2,1.62,0.39,1
2,8.09,5.42,0
2,4.99,5.31,1
1,2.32,5.96,1
1,0.94,1.43,0
1,3.56,1.41,1
2,2.93,0.28,1
2,8.46,6.97,0
2,9.51,0.97,1
1,6.52,4.16,1
2,0.82,2.19,1
1,0.25,1.63,0
1,4.53,8.22,1
1,6.47,1.43,1
2,3.54,6.0,0
2,6.56,3.03,0
1,7.77,3.22,1
2,6.48,7.68,0
2,6.56,6.25,0
1,8.66,2.04,0
1,6.42,8.31,1
2,8.78,6.98,1
1,2.05,8.84,0
2,7.85,8.82,1
2,5.67,8.83,0
2,5.3,0.59,1
2,6.81,1.76,0
1,7.54,8.35,0
2,9.64,7.72,1
1,2.23,6.81,1
2,9.81,9.08,1
1,2.4,1.94,0
2,3.75,9.05,1
1,4.87,0.73,0
1,7.92,1.08,0
2,0.52,6.17,1
2,9.74,4.94,1
1,0.47,4.05,0
1,6.95,6.58,1
1,7.13,8.56,0
2,5.29,9.77,1
2,3.46,9.55,1
1,0.01,1.64,0
1,0.78,3.17,0
2,2.46,4.65,0
2,8.22,1.84,1
1,8.23,1.28,0
2,5.44,1.32,0
1,4.74,3.64,1
1,0.55,4.64,0
1,8.22,8.14,0
1,3.34,1.11,0
2,8.84,1.99,1
1,9.28,6.2,0
2,7.84,4.24,0
1,5.3,5.72,0
1,7.24,4.34,1
2,4.57,7.75,0
1,5.78,8.4,1
1,6.3,3.37,1
1,8.5,8.89,0
1,9.44,5.44,0
2,1.94,3.54,0
2,4.98,2.33,0
2,6.3,1.0,1
1,5.43,3.68,1
2,3.79,3.8,0
2,6.43,1.87,0
2,3.95,6.58,0
1,2.44,8.13,0
1,0.0,2.57,0
2,7.89,4.87,0
2,8.78,2.92,1
1,6.8,8.23,1
1,5.05,7.67,1
2,6.81,9.47,1
1,1.74,0.66,0
1,0.17,3.72,0
2,8.78,0.06,1
1,0.62,6.65,0
1,9.09,7.28,0
2,4.98,5.84,1
2,2.2,7.55,0
2,6.76,6.57,0
1,8.37,7.92,0
2,0.26,2.83,1
1,5.05,4.1,0
2,0.54,0.19,1
1,7.03,5.38,1
2,4.21,9.82,1
1,2.31,9.71,0
1,7.06,3.23,1
2,1.61,6.25,0
1,7.13,6.49,1
2,5.86,4.87,1
2,2.23,7.63,0
1,5.9,4.86,0
2,0.54,1.01,1
1,3.05,6.78,1
1,5.34,0.32,0
1,0.37,1.89,0
1,4.77,6.11,1
2,7.55,3.14,0
1,4.05,1.83,1
2,0.41,8.4,1
2,8.8,2.74,1
1,7.93,2.02,0
1,9.81,6.18,0
1,8.57,0.26,0
2,2.25,8.62,1
2,7.11,4.16,0
1,8.92,0.61,0
1,6.14,1.64,1
2,9.96,2.79,1
1,0.45,5.99,0
2,1.35,7.16,1
1,1.23,9.68,0
1,5.33,3.53,1
2,2.27,9.24,1
1,5.96,9.09,0
1,4.88,5.46,0
1,8.44,5.39,1
1,9.69,4.05,0
2,6.85,3.64,0
2,3.3,9.27,1
2,0.0,1.29,1
2,8.87,9.46,1
2,1.82,7.61,1
2,2.71,0.57,1
1,1.52,8.89,0
2,2.35,5.69,0
2,8.99,4.91,0
2,4.35,5.23,1
1,6.43,4.73,1
1,6.84,8.87,0
1,3.43,5.22,1
1,0.15,4.56,0
2,5.58,7.15,0
2,8.56,8.93,1
2,0.33,9.29,1
1,4.62,1.92,1
2,4.27,8.06,0
1,8.44,6.66,1
2,5.95,1.14,0
1,6.2,4.28,1
1,6.19,5.21,1
1,1.59,5.81,1
2,1.93,8.17,1
1,0.62,6.74,0
2,2.47,0.07,1
1,4.98,0.49,0
2,2.71,9.13,1
2,0.68,8.67,1
2,1.81,2.44,1
2,3.78,7.33,0
1,9.24,5.17,0
1,0.89,0.5,0
1,9.88,0.97,0
1,0.72,5.79,0
2,5.94,2.4,0
2,1.53,0.03,1
1,3.22,8.57,1
2,3.72,8.69,0
1,0.59,4.16,0
2,4.8,7.03,0
1,4.63,4.75,0
2,5.23,7.85,0
1,9.95,8.74,0
2,6.65,3.79,0
2,3.23,0.86,1
2,2.16,8.34,1
1,6.07,2.27,1
1,0.22,8.9,0
2,3.57,1.33,0
2,7.77,6.71,0
2,0.73,8.65,1
1,1.9,9.73,0
1,4.03,2.96,1
1,6.54,6.63,1
2,6.98,6.72,0
1,8.06,7.9,0
2,4.84,5.28,1
1,0.14,6.71,0
1,8.5,1.15,0
1,9.75,9.77,0
2,1.6,8.42,1
2,6.66,2.48,0
1,8.71,6.58,0
1,4.15,2.11,1
2,9.67,0.59,1
1,6.42,5.53,1
2,2.24,4.9,0
1,5.24,0.24,0
2,9.45,4.6,1
1,6.44,9.06,0
1,2.32,3.21,1
1,1.75,3.42,1
2,1.78,3.25,0
2,1.06,9.8,1
1,7.68,4.55,1
2,8.87,8.8,1
2,6.39,4.98,0
2,9.21,1.71,1
1,2.51,5.63,1
1,0.08,2.06,0
2,5.21,5.92,1
1,8.88,6.9,0
2,2.9,4.76,0
1,7.9,8.84,0
2,5.26,0.47,1
2,6.49,4.21,0
1,2.35,9.46,0
1,7.14,7.18,1
2,4.0,1.63,0
1,3.31,5.17,1
1,7.91,6.88,1
1,0.71,6.61,0
2,2.58,2.78,0
1,2.79,1.55,0
1,7.52,0.64,0
1,7.25,4.98,1
2,9.72,5.78,1
2,1.38,7.12,1
2,7.26,5.69,0
1,0.85,8.88,0
2,1.0,5.54,1
2,1.27,0.39,1
2,5.29,7.75,0
1,6.46,8.44,1
2,5.05,8.32,0
2,6.98,2.81,0
1,7.38,6.27,1
2,0.21,1.35,1
2,9.33,1.09,1
2,7.81,0.28,1
1,6.02,9.02,0
2,1.43,5.16,0
2,4.54,0.37,1
2,5.78,3.05,0
2,2.4,3.37,0
1,3.16,0.65,0
2,7.25,3.67,0
2,3.47,1.85,0
2,7.54,2.77,0
1,9.91,2.29,0
2,5.73,2.19,0
1,8.2,4.59,1
2,5.15,8.23,0
2,5.9,5.16,1
2,4.41,2.05,0
2,7.68,0.16,1
2,5.08,2.54,0
2,3.19,0.19,1
1,6.71,1.87,1
2,9.19,1.86,1
2,2.37,0.44,1
2,7.96,2.42,0
2,6.03,7.09,0
2,7.26,4.19,0
2,2.05,0.57,1
1,3.95,8.7,1
2,8.39,6.39,0
1,5.84,2.56,1
1,5.58,4.58,0
2,5.13,3.47,0
2,9.54,2.57,1
2,8.66,5.82,0
1,9.5,5.86,0
2,4.78,2.64,0
1,2.43,9.68,0
2,6.67,6.58,0
1,1.61,4.39,1
1,5.69,6.73,1
2,9.69,9.51,1
1,3.38,4.32,1
1,4.41,5.54,0
1,5.64,5.54,0
1,8.28,4.16,1
1,8.84,0.53,0
2,9.42,9.13,1
2,4.2,6.96,0
1,1.44,7.42,0
2,9.03,4.56,1
2,9.79,0.69,1
1,0.75,3.13,0
2,5.09,5.48,1
2,1.82,2.48,1
2,2.18,9.82,1
2,9.81,6.78,1
1,3.04,7.87,1
1,1.04,0.04,0
1,1.59,0.44,0
1,8.1,0.56,0
2,7.03,1.93,0
1,8.97,4.01,0
2,6.1,5.19,0
2,8.3,1.24,1
2,3.81,8.44,0
2,2.42,3.93,0
2,0.46,0.4,1
2,7.06,9.95,1
1,2.87,3.17,1
1,0.48,9.3,0
1,0.08,9.86,0
1,9.82,8.11,0
1,3.81,7.79,1
1,1.53,4.19,1
2,8.43,4.34,0
2,2.18,7.27,0
1,3.13,4.85,1
1,4.12,3.4,1
2,2.68,9.73,1
2,6.46,9.18,1
2,5.05,4.82,1
2,0.44,1.14,1
1,3.43,0.11,0
2,3.93,0.02,1
1,0.91,8.71,0
2,2.36,4.24,0
2,5.44,1.93,0
1,6.75,0.4,0
1,6.4,7.53,1
1,8.61,8.28,0
1,6.79,3.66,1
1,9.19,9.81,0
2,4.53,9.72,1
2,7.1,5.62,0
2,4.11,9.42,1
1,6.22,1.0,0
1,6.82,9.65,0
2,9.61,9.79,1
2,1.66,7.35,1
%
