@relation titanic-train

@attribute passengerId numeric
@attribute pclass {1,2,3}
@attribute sex {male,female}
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute survival {0,1}

@data
539,3,male,?,0,0,14.5,S,0
789,3,male,1,1,2,20.575,S,1
443,3,male,25,1,0,7.775,S,0
480,3,female,2,0,1,12.2875,S,1
824,3,female,27,0,1,12.475,S,1
217,3,female,27,0,0,7.925,S,1
349,3,male,3,1,1,15.9,S,1
405,3,female,20,0,0,8.6625,S,0
833,3,male,?,0,0,7.2292,C,0
105,3,male,37,2,0,7.925,S,0
714,3,male,29,0,0,9.4833,S,0
585,3,male,?,0,0,8.7125,C,0
873,1,male,33,0,0,5,S,0
869,3,male,?,0,0,9.5,S,0
527,2,female,50,0,0,10.5,S,1
129,3,female,?,1,1,22.3583,C,1
278,2,male,?,0,0,0,S,0
281,3,male,65,0,0,7.75,Q,0
633,1,male,32,0,0,30.5,C,1
736,3,male,28.5,0,0,16.1,S,0
718,2,female,27,0,0,10.5,S,1
702,1,male,35,0,0,26.2875,S,1
604,3,male,44,0,0,8.05,S,0
280,3,female,35,1,1,20.25,S,1
312,1,female,18,2,2,262.375,C,1
803,1,male,11,1,2,120,S,1
409,3,male,21,0,0,7.775,S,0
727,2,female,30,3,0,21,S,1
